customer_id,brand_id,snapshot_date,cohort_month,first_order_date,last_order_date,days_since_last_order,total_orders,orders_last_90d,orders_last_30d,total_revenue,avg_order_value,return_rate,acquisition_channel,acquisition_campaign,cac,ltv_12m,ltv_cac_ratio,discount_orders_share,avg_discount_pct,discount_dependency_index,top_category,price_band_preference,lifecycle_stage,active_30d,active_90d,churn_flag,email_opt_in,region,r_score,f_score,m_score
C0035,brand_a,11/1/2025,7/1/2024,7/21/2024,3/12/2025,234,3,0,0,65.06,21.69,0.179,Organic,Direct_Organic,3.6,86.95,24.15,0.034,0.186,0.006,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,IN,3,3,1
C0036,brand_a,11/1/2025,12/1/2024,12/6/2024,3/18/2025,228,3,0,0,548.13,182.71,0.073,Google Ads,Generic_Search,24.63,617.54,25.07,0.181,0.242,0.044,Home Decor,High,Churned,FALSE,FALSE,TRUE,TRUE,AU,3,3,5
C0037,brand_a,11/1/2025,6/1/2024,6/29/2024,8/25/2025,68,4,2,0,117.95,29.49,0.296,Meta Ads,Meta_Prospecting,20.2,130.64,6.47,0.607,0.235,0.142,Apparel,Mid,Active,FALSE,TRUE,FALSE,FALSE,AU,4,4,3
C0038,brand_c,11/1/2025,9/1/2024,9/14/2024,11/9/2024,357,1,0,0,55.77,55.77,0.072,Google Ads,Shopping_Campaign,27.69,51.69,1.87,0.541,0.205,0.111,Home Decor,Mid,Churned,FALSE,FALSE,TRUE,TRUE,IN,2,1,1
C0039,brand_c,11/1/2025,3/1/2024,3/18/2024,9/3/2024,424,1,0,0,26.74,26.74,0.199,Google Ads,Generic_Search,58.17,13.06,0.22,0.455,0.342,0.156,Apparel,Low,Churned,FALSE,FALSE,TRUE,TRUE,IN,2,1,1
C0040,brand_b,11/1/2025,3/1/2024,3/1/2024,1/15/2025,290,1,0,0,76.42,76.42,0.06,Meta Ads,Meta_Prospecting,39.04,57.06,1.46,0.641,0.249,0.16,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,UK,2,1,2
C0041,brand_b,11/1/2025,1/1/2024,1/23/2024,2/14/2025,260,3,0,0,185.72,61.91,0.168,Meta Ads,Meta_Prospecting,20.26,182.81,9.02,0.578,0.312,0.18,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,CA,3,3,4
C0042,brand_a,11/1/2025,4/1/2023,4/10/2023,3/12/2025,234,2,0,0,126.83,63.42,0.184,Meta Ads,Meta_Prospecting,17.66,122.22,6.92,0.338,0.292,0.098,Home Decor,Mid,Churned,FALSE,FALSE,TRUE,FALSE,CA,3,2,3
C0043,brand_a,11/1/2025,1/1/2025,1/21/2025,10/9/2025,23,4,2,1,92.9,23.22,0.076,Organic,Direct_Organic,5.62,124.17,22.09,0.033,0.241,0.008,Accessories,Low,Active,TRUE,TRUE,FALSE,TRUE,US,5,4,2
C0044,brand_a,11/1/2025,3/1/2023,3/4/2023,12/26/2024,310,1,0,0,141.4,141.4,0.024,Meta Ads,Meta_Retargeting,31.33,175.29,5.59,0.624,0.229,0.143,Skincare,High,Churned,FALSE,FALSE,TRUE,TRUE,US,2,1,3
C0045,brand_c,11/1/2025,6/1/2025,6/19/2025,7/17/2025,107,5,0,0,1103.83,220.77,0.158,Meta Ads,Meta_Retargeting,43.41,721.27,16.62,0.539,0.31,0.167,Home Decor,Premium,At-risk,FALSE,FALSE,FALSE,FALSE,UK,4,5,5
C0046,brand_a,11/1/2025,4/1/2023,4/1/2023,5/1/2025,184,7,0,0,215.03,30.72,0.082,Referral,Referral_Program,4.79,323.02,67.44,0.204,0.301,0.061,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,3,5,4
C0047,brand_b,11/1/2025,3/1/2024,3/12/2024,12/26/2024,310,4,0,0,154.53,38.63,0.174,Meta Ads,Meta_Retargeting,24.23,125.08,5.16,0.464,0.096,0.045,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,IN,2,4,3
C0048,brand_c,11/1/2025,3/1/2025,3/4/2025,5/7/2025,178,4,0,0,111.94,27.98,0.054,Organic,SEO_Blog,9.64,110.7,11.48,0.208,0.284,0.059,Accessories,Low,At-risk,FALSE,FALSE,FALSE,TRUE,IN,3,4,2
C0049,brand_b,11/1/2025,11/1/2024,11/19/2024,3/17/2025,229,2,0,0,117.53,58.76,0.021,Organic,Direct_Organic,2.03,165.13,81.34,0.243,0.333,0.081,Supplements,Mid,Churned,FALSE,FALSE,TRUE,TRUE,CA,3,2,3
C0050,brand_b,11/1/2025,4/1/2023,4/3/2023,4/7/2024,573,1,0,0,85.33,85.33,0.019,Google Ads,Generic_Search,49.16,77.89,1.58,0.325,0.106,0.034,Skincare,High,Churned,FALSE,FALSE,TRUE,TRUE,US,1,1,2
C0051,brand_a,11/1/2025,8/1/2024,8/15/2024,1/13/2025,292,1,0,0,20.05,20.05,0.255,Organic,SEO_Blog,3.39,25.04,7.39,0.019,0.183,0.004,Apparel,Low,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,2,1,1
C0052,brand_c,11/1/2025,9/1/2024,9/28/2024,1/1/2025,304,2,0,0,63.61,31.8,0.053,Meta Ads,Meta_Retargeting,35.63,53.8,1.51,0.409,0.318,0.13,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,2,2,1
C0053,brand_b,11/1/2025,7/1/2025,7/21/2025,8/29/2025,64,3,3,0,83.75,27.92,0.23,Google Ads,Generic_Search,25.07,76.13,3.04,0.375,0.269,0.101,Apparel,Low,Active,FALSE,TRUE,FALSE,TRUE,AU,4,3,2
C0054,brand_b,11/1/2025,1/1/2025,1/13/2025,5/19/2025,166,3,0,0,664.43,221.48,0.167,Referral,Referral_Program,10.08,728.03,72.23,0.154,0.247,0.038,Home Decor,Premium,At-risk,FALSE,FALSE,FALSE,TRUE,UK,3,3,5
C0055,brand_a,11/1/2025,1/1/2025,1/24/2025,8/26/2025,67,1,1,0,26.99,26.99,0.144,Google Ads,Brand_Search,22.9,26.47,1.16,0.185,0.13,0.024,Apparel,Low,Active,FALSE,TRUE,FALSE,TRUE,US,4,1,1
C0056,brand_a,11/1/2025,5/1/2025,5/26/2025,10/14/2025,18,4,4,1,96.92,24.23,0.069,Meta Ads,Meta_Prospecting,34.25,106.64,3.11,0.59,0.162,0.095,Accessories,Low,Active,TRUE,TRUE,FALSE,TRUE,AU,5,4,2
C0057,brand_a,11/1/2025,5/1/2024,5/22/2024,10/26/2025,6,4,1,1,167.58,41.9,0.074,Referral,Referral_VIP,17.32,245.27,14.16,0.116,0.117,0.014,Home Decor,Mid,Active,TRUE,TRUE,FALSE,TRUE,AU,5,4,3
C0058,brand_b,11/1/2025,5/1/2024,5/25/2024,4/29/2025,186,1,0,0,58.04,58.04,0.068,Organic,SEO_Landing,8.12,60.45,7.44,0.162,0.225,0.037,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,3,1,1
C0059,brand_c,11/1/2025,5/1/2023,5/14/2023,11/30/2023,702,2,0,0,282.97,141.49,0.162,Organic,SEO_Landing,6.3,188.44,29.91,0.176,0.31,0.055,Home Decor,Premium,Churned,FALSE,FALSE,TRUE,TRUE,UK,1,2,4
C0060,brand_b,11/1/2025,6/1/2023,6/14/2023,4/25/2025,190,2,0,0,120.25,60.12,0.03,Google Ads,Shopping_Campaign,31.06,80.84,2.6,0.466,0.092,0.043,Supplements,Mid,Churned,FALSE,FALSE,TRUE,TRUE,CA,3,2,3
C0061,brand_b,11/1/2025,3/1/2025,3/17/2025,7/28/2025,96,1,0,0,17.88,17.88,0.118,Meta Ads,Meta_Prospecting,38.32,20.06,0.52,0.389,0.266,0.103,Accessories,Low,At-risk,FALSE,FALSE,FALSE,TRUE,IN,4,1,1
C0062,brand_b,11/1/2025,10/1/2024,10/5/2024,8/4/2025,89,1,1,0,52.21,52.21,0.125,Organic,Direct_Organic,9.29,48.92,5.27,0.111,0.157,0.018,Apparel,Mid,Active,FALSE,TRUE,FALSE,TRUE,UK,4,1,1
C0063,brand_b,11/1/2025,6/1/2024,6/18/2024,11/26/2024,340,4,0,0,379.38,94.84,0.17,Referral,Referral_Program,11.14,321.97,28.9,0.383,0.146,0.056,Home Decor,High,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,2,4,5
C0064,brand_b,11/1/2025,10/1/2023,10/21/2023,9/12/2024,415,3,0,0,97.74,32.58,0.123,Organic,Direct_Organic,11.57,109.49,9.46,0.202,0.159,0.032,Apparel,Low,Churned,FALSE,FALSE,TRUE,FALSE,AU,2,3,2
C0065,brand_c,11/1/2025,10/1/2024,10/21/2024,11/11/2024,355,1,0,0,17.99,17.99,0.175,Influencer,TikTok_Creator_Summer,70.91,11.35,0.16,0.829,0.338,0.28,Accessories,Low,Churned,FALSE,FALSE,TRUE,FALSE,UK,2,1,1
C0066,brand_a,11/1/2025,6/1/2023,6/25/2023,10/18/2024,379,2,0,0,24.96,12.48,0.314,Influencer,IG_Influencer_Spring,40.33,22.08,0.55,0.737,0.15,0.11,Apparel,Low,Churned,FALSE,FALSE,TRUE,TRUE,AU,2,2,1
C0067,brand_b,11/1/2025,1/1/2023,1/10/2023,11/22/2023,710,5,0,0,363,72.6,0.054,Referral,Referral_VIP,8.58,406.72,47.4,0.145,0.198,0.029,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,US,1,5,5
C0068,brand_a,11/1/2025,11/1/2024,11/30/2024,4/8/2025,207,1,0,0,164.92,164.92,0.016,Meta Ads,Meta_Retargeting,21.65,141.41,6.53,0.497,0.223,0.111,Skincare,High,Churned,FALSE,FALSE,TRUE,TRUE,UK,3,1,3
C0069,brand_a,11/1/2025,3/1/2023,3/22/2023,3/12/2024,599,7,0,0,989.12,141.3,0.054,Google Ads,Brand_Search,20.2,1071.08,53.02,0.195,0.176,0.034,Skincare,High,Churned,FALSE,FALSE,TRUE,TRUE,AU,1,5,5
C0070,brand_b,11/1/2025,4/1/2025,4/5/2025,7/28/2025,96,1,0,0,122.53,122.53,0.031,Google Ads,Brand_Search,29.16,80.92,2.78,0.386,0.24,0.093,Supplements,High,At-risk,FALSE,FALSE,FALSE,TRUE,US,4,1,3
C0071,brand_a,11/1/2025,2/1/2024,2/4/2024,2/14/2025,260,2,0,0,97.9,48.95,0.061,Meta Ads,Meta_BF_Sale,28.3,131.08,4.63,0.393,0.215,0.084,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,3,2,2
C0072,brand_c,11/1/2025,4/1/2023,4/20/2023,1/22/2024,649,1,0,0,58,58,0.062,Google Ads,Generic_Search,51.71,29.77,0.58,0.353,0.084,0.03,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,UK,1,1,1
C0073,brand_b,11/1/2025,2/1/2024,2/23/2024,10/29/2024,368,2,0,0,111.83,55.92,0.054,Meta Ads,Meta_Retargeting,20.5,98.57,4.81,0.33,0.136,0.045,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,2,2,2
C0074,brand_b,11/1/2025,12/1/2023,12/29/2023,4/3/2024,577,2,0,0,39.79,19.9,0.079,Influencer,TikTok_Creator_Summer,78.75,32.08,0.41,0.788,0.229,0.18,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,AU,1,2,1
C0075,brand_a,11/1/2025,7/1/2025,7/31/2025,8/29/2025,64,8,2,0,207.64,25.96,0.138,Google Ads,Generic_Search,32.12,182,5.67,0.152,0.211,0.032,Accessories,Low,Active,FALSE,TRUE,FALSE,TRUE,UK,4,5,4
C0076,brand_b,11/1/2025,7/1/2023,7/15/2023,8/13/2024,445,1,0,0,36.06,36.06,0.076,Meta Ads,Meta_Prospecting,19.37,27.9,1.44,0.4,0.159,0.063,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,CA,1,1,1
C0077,brand_b,11/1/2025,10/1/2025,10/27/2025,10/31/2025,1,2,2,2,62.64,31.32,0.13,Meta Ads,Meta_Prospecting,38.68,79,2.04,0.57,0.2,0.114,Apparel,Low,Active,TRUE,TRUE,FALSE,TRUE,AU,5,2,1
C0078,brand_a,11/1/2025,5/1/2024,5/9/2024,11/3/2024,363,3,0,0,75.25,25.08,0.228,Influencer,TikTok_Creator_Summer,42.5,84.62,1.99,0.527,0.116,0.061,Apparel,Low,Churned,FALSE,FALSE,TRUE,FALSE,CA,2,3,2
C0079,brand_a,11/1/2025,8/1/2023,8/2/2023,8/25/2025,68,2,2,0,385.19,192.6,0.073,Influencer,TikTok_Creator_Summer,44.04,502.39,11.41,0.59,0.152,0.09,Home Decor,Premium,Active,FALSE,TRUE,FALSE,TRUE,AU,4,2,5
C0080,brand_b,11/1/2025,5/1/2024,5/31/2024,7/12/2025,112,2,0,0,197.55,98.78,0.064,Referral,Referral_Program,11.89,273.42,23,0.19,0.314,0.06,Supplements,High,At-risk,FALSE,FALSE,FALSE,TRUE,UK,4,2,4
C0081,brand_a,11/1/2025,6/1/2023,6/26/2023,9/7/2024,420,2,0,0,63.4,31.7,0.158,Meta Ads,Meta_BF_Sale,22.62,73.23,3.24,0.384,0.222,0.085,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,IN,2,2,1
C0082,brand_b,11/1/2025,5/1/2024,5/25/2024,9/10/2024,417,1,0,0,78.67,78.67,0.164,Google Ads,Generic_Search,26.97,55.56,2.06,0.151,0.104,0.016,Home Decor,High,Churned,FALSE,FALSE,TRUE,TRUE,US,2,1,2
C0083,brand_b,11/1/2025,4/1/2024,4/24/2024,11/15/2024,351,3,0,0,92.66,30.89,0.06,Google Ads,Shopping_Campaign,25.56,121.18,4.74,0.419,0.181,0.076,Supplements,Mid,Churned,FALSE,FALSE,TRUE,TRUE,CA,2,3,2
C0084,brand_a,11/1/2025,6/1/2025,6/15/2025,9/5/2025,57,5,4,0,270.97,54.19,0.154,Influencer,TikTok_Creator_Summer,52.14,216.07,4.14,0.593,0.138,0.082,Accessories,Mid,Active,FALSE,TRUE,FALSE,FALSE,IN,5,5,4
C0085,brand_c,11/1/2025,8/1/2025,8/17/2025,9/12/2025,50,2,1,0,45.82,22.91,0.153,Meta Ads,Meta_Prospecting,23.46,39.56,1.69,0.586,0.051,0.03,Accessories,Low,Active,FALSE,TRUE,FALSE,FALSE,US,5,2,1
C0086,brand_c,11/1/2025,4/1/2024,4/12/2024,7/28/2024,461,1,0,0,40.62,40.62,0.319,Meta Ads,Meta_Retargeting,40.34,29.94,0.74,0.526,0.335,0.176,Apparel,Mid,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,1,1,1
C0087,brand_a,11/1/2025,6/1/2025,6/7/2025,8/9/2025,84,3,2,0,211.66,70.55,0.07,Organic,Direct_Organic,4.62,226.09,48.94,0.035,0.053,0.002,Skincare,Mid,Active,FALSE,TRUE,FALSE,TRUE,EU_Other,4,3,4
C0088,brand_a,11/1/2025,1/1/2024,1/9/2024,6/3/2025,151,1,0,0,125.85,125.85,0.123,Meta Ads,Meta_Prospecting,35.85,140.19,3.91,0.251,0.264,0.066,Home Decor,High,At-risk,FALSE,FALSE,FALSE,TRUE,AU,3,1,3
C0089,brand_a,11/1/2025,8/1/2025,8/1/2025,10/3/2025,29,6,2,1,747.16,124.53,0.151,Organic,SEO_Landing,0.85,1296.33,1525.09,0.142,0.348,0.05,Home Decor,High,Active,TRUE,TRUE,FALSE,TRUE,UK,5,5,5
C0090,brand_a,11/1/2025,4/1/2024,4/29/2024,2/27/2025,247,2,0,0,307.97,153.99,0.021,Organic,Direct_Organic,0.66,454.89,689.23,0.083,0.096,0.008,Skincare,High,Churned,FALSE,FALSE,TRUE,TRUE,AU,3,2,5
C0091,brand_b,11/1/2025,5/1/2024,5/22/2024,10/3/2024,394,6,0,0,240.38,40.06,0.129,Meta Ads,Meta_Prospecting,23.54,179.76,7.64,0.467,0.106,0.05,Apparel,Mid,Churned,FALSE,FALSE,TRUE,FALSE,IN,2,5,4
C0092,brand_c,11/1/2025,1/1/2023,1/18/2023,7/22/2023,833,2,0,0,69.61,34.8,0.176,Meta Ads,Meta_Prospecting,30.88,42.86,1.39,0.679,0.102,0.069,Apparel,Low,Churned,FALSE,FALSE,TRUE,TRUE,US,1,2,2
C0093,brand_a,11/1/2025,10/1/2023,10/28/2023,8/13/2025,80,8,3,0,835.79,104.47,0.039,Organic,SEO_Blog,10.98,1263.53,115.08,0.088,0.211,0.018,Supplements,High,Active,FALSE,TRUE,FALSE,TRUE,US,4,5,5
C0094,brand_b,11/1/2025,5/1/2024,5/12/2024,12/29/2024,307,5,0,0,339.64,67.93,0.025,Influencer,IG_Influencer_Spring,72.34,234.27,3.24,0.781,0.287,0.224,Skincare,Mid,Churned,FALSE,FALSE,TRUE,FALSE,EU_Other,2,5,5
C0095,brand_b,11/1/2025,1/1/2023,1/5/2023,5/30/2024,520,1,0,0,77.62,77.62,0.166,Referral,Referral_Program,15.85,92.41,5.83,0.173,0.202,0.035,Home Decor,Mid,Churned,FALSE,FALSE,TRUE,TRUE,UK,1,1,2
C0096,brand_b,11/1/2025,12/1/2024,12/6/2024,3/31/2025,215,1,0,0,34.47,34.47,0.167,Meta Ads,Meta_Retargeting,36.17,25.82,0.71,0.478,0.151,0.072,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,IN,3,1,1
C0097,brand_a,11/1/2025,3/1/2025,3/23/2025,7/24/2025,100,4,0,0,288.82,72.2,0.162,Google Ads,Brand_Search,38.15,308.57,8.09,0.404,0.08,0.032,Apparel,Mid,At-risk,FALSE,FALSE,FALSE,TRUE,CA,4,4,4
C0098,brand_a,11/1/2025,7/1/2024,7/24/2024,10/1/2025,31,3,1,0,65.42,21.81,0.269,Meta Ads,Meta_BF_Sale,33.49,74.11,2.21,0.454,0.181,0.082,Apparel,Low,Active,FALSE,TRUE,FALSE,TRUE,AU,5,3,1
C0099,brand_a,11/1/2025,12/1/2023,12/4/2023,8/26/2025,67,4,2,0,168.06,42.02,0.026,Google Ads,Shopping_Campaign,31.51,189.5,6.01,0.23,0.122,0.028,Supplements,Mid,Active,FALSE,TRUE,FALSE,TRUE,IN,4,4,3
