customer_id,cohort_month,first_order_date,last_order_date,days_since_last_order,total_orders,orders_last_90d,orders_last_30d,total_revenue,avg_order_value,return_rate,acquisition_channel,acquisition_campaign,cac,ltv_12m,ltv_cac_ratio,discount_orders_share,avg_discount_pct,discount_dependency_index,top_category,price_band_preference,lifecycle_stage,active_30d,active_90d,churn_flag,email_opt_in,region,r_score,f_score,m_score
C0011,1/1/2024,1/21/2024,8/3/2024,455,1,0,0,82.31,82.31,0.089,Meta Ads,Meta_BF_Sale,23.51,70.72,3.01,0.255,0.271,0.069,Home Decor,High,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,2,1,2
C0012,8/1/2025,8/13/2025,9/30/2025,32,1,1,0,58.19,58.19,0.076,Influencer,IG_Influencer_Spring,43.84,50.65,1.16,0.828,0.332,0.275,Skincare,Mid,Active,FALSE,TRUE,FALSE,TRUE,EU_Other,5,1,2
C0013,10/1/2023,10/4/2023,4/15/2024,565,1,0,0,22.37,22.37,0.155,Influencer,TikTok_Creator_Summer,44.84,10.99,0.25,0.646,0.26,0.168,Accessories,Low,Churned,FALSE,FALSE,TRUE,FALSE,EU_Other,2,1,1
C0014,4/1/2024,4/4/2024,10/20/2024,377,6,0,0,198.14,33.02,0.138,Referral,Referral_Program,19.81,243.11,12.27,0.342,0.175,0.06,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,US,2,5,4
C0015,1/1/2023,1/22/2023,2/28/2024,612,3,0,0,168.41,56.14,0.094,Referral,Referral_VIP,5.6,193.81,34.61,0.124,0.331,0.041,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,1,3,4
C0016,9/1/2023,9/10/2023,1/2/2024,669,1,0,0,32.92,32.92,0.102,Organic,Direct_Organic,13.01,42.33,3.25,0.155,0.199,0.031,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,AU,1,1,1
C0017,1/1/2025,1/17/2025,5/28/2025,157,5,0,0,269.86,53.97,0.027,Influencer,IG_Influencer_Spring,53.15,144.85,2.73,0.489,0.082,0.04,Supplements,Mid,At-risk,FALSE,FALSE,FALSE,TRUE,CA,4,4,4
C0018,5/1/2025,5/6/2025,8/28/2025,65,5,1,0,490.12,98.02,0.135,Referral,Referral_VIP,11.58,568.47,49.09,0.337,0.234,0.079,Home Decor,High,Active,FALSE,TRUE,FALSE,TRUE,IN,4,5,5
C0019,4/1/2024,4/19/2024,7/27/2024,462,5,0,0,380.82,76.16,0.076,Influencer,IG_Influencer_Spring,59.01,339.47,5.75,0.563,0.108,0.061,Home Decor,Mid,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,2,5,5
C0020,5/1/2024,5/25/2024,10/12/2024,385,6,0,0,383.96,63.99,0.038,Meta Ads,Meta_Retargeting,24.73,389.56,15.75,0.422,0.225,0.095,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,US,2,5,5
C0021,11/1/2024,11/30/2024,6/29/2025,125,1,0,0,45.16,45.16,0.084,Google Ads,Generic_Search,41.84,40.69,0.97,0.183,0.305,0.056,Accessories,Mid,At-risk,FALSE,FALSE,FALSE,FALSE,AU,4,1,1
C0022,9/1/2025,9/2/2025,9/30/2025,32,4,4,0,131.78,32.94,0.114,Meta Ads,Meta_Prospecting,33.01,119.01,3.61,0.234,0.157,0.037,Apparel,Low,Active,FALSE,TRUE,FALSE,TRUE,EU_Other,5,4,3
C0023,7/1/2023,7/9/2023,5/20/2024,530,2,0,0,37.8,18.9,0.265,Referral,Referral_VIP,11.33,48.4,4.27,0.272,0.132,0.036,Apparel,Low,Churned,FALSE,FALSE,TRUE,TRUE,US,2,2,1
C0024,8/1/2025,8/15/2025,10/8/2025,24,5,1,1,288.98,57.8,0.088,Organic,Direct_Organic,4.15,261.74,63.07,0.248,0.272,0.068,Accessories,Mid,Active,TRUE,TRUE,FALSE,TRUE,CA,5,5,4
C0025,11/1/2024,11/17/2024,6/20/2025,134,4,0,0,143.98,35.99,0.195,Meta Ads,Meta_BF_Sale,26.85,118.04,4.4,0.516,0.086,0.044,Apparel,Low,At-risk,FALSE,FALSE,FALSE,FALSE,UK,4,4,3
C0026,8/1/2025,8/15/2025,11/1/2025,0,4,1,1,151.98,37.99,0.014,Organic,SEO_Blog,13.69,173.22,12.65,0.042,0.136,0.006,Skincare,Mid,Active,TRUE,TRUE,FALSE,TRUE,EU_Other,5,4,3
C0027,7/1/2024,7/16/2024,2/13/2025,261,3,0,0,159.54,53.18,0.073,Organic,SEO_Landing,3.16,165.39,52.34,0.155,0.274,0.043,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,3,3,4
C0028,4/1/2025,4/11/2025,9/26/2025,36,1,1,0,29.95,29.95,0.1,Google Ads,Generic_Search,35.57,32.39,0.91,0.435,0.261,0.114,Accessories,Low,Active,FALSE,TRUE,FALSE,TRUE,US,5,1,1
C0029,10/1/2024,10/8/2024,3/16/2025,230,2,0,0,54.25,27.12,0.249,Meta Ads,Meta_Prospecting,27.63,63,2.28,0.571,0.272,0.155,Apparel,Low,Churned,FALSE,FALSE,TRUE,TRUE,US,3,2,1
C0030,1/1/2023,1/21/2023,7/12/2023,843,8,0,0,315.45,39.43,0.047,Organic,Direct_Organic,11,373.96,34,0.092,0.13,0.012,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,1,5,5
C0031,4/1/2025,4/20/2025,10/27/2025,5,6,3,1,215.65,35.94,0.028,Google Ads,Shopping_Campaign,23.29,221.53,9.51,0.378,0.108,0.041,Skincare,Mid,Active,TRUE,TRUE,FALSE,TRUE,US,5,5,4
C0032,6/1/2023,6/16/2023,4/16/2024,564,1,0,0,72.85,72.85,0.046,Influencer,IG_Influencer_Spring,58.63,53.45,0.91,0.446,0.21,0.094,Supplements,Mid,Churned,FALSE,FALSE,TRUE,TRUE,UK,2,1,2
C0033,1/1/2024,1/23/2024,9/16/2024,411,1,0,0,100.04,100.04,0.019,Google Ads,Generic_Search,42.73,75.05,1.76,0.429,0.08,0.034,Supplements,High,Churned,FALSE,FALSE,TRUE,FALSE,US,2,1,2
C0034,8/1/2024,8/23/2024,3/26/2025,220,1,0,0,95.93,95.93,0.05,Influencer,TikTok_Creator_Summer,37.19,75.09,2.02,0.796,0.293,0.234,Skincare,High,Churned,FALSE,FALSE,TRUE,TRUE,IN,3,1,2
C0035,11/1/2023,11/12/2023,1/29/2024,642,4,0,0,153.05,38.26,0.098,Organic,Direct_Organic,3.56,150.61,42.31,0.145,0.067,0.01,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,IN,1,4,3
C0036,1/1/2023,1/14/2023,6/6/2023,879,5,0,0,506.11,101.22,0.169,Organic,Direct_Organic,14.57,520.98,35.76,0.052,0.262,0.014,Home Decor,High,Churned,FALSE,FALSE,TRUE,TRUE,US,1,5,5
C0037,8/1/2023,8/30/2023,10/19/2023,744,1,0,0,57.6,57.6,0.058,Influencer,TikTok_Creator_Summer,37.24,46.63,1.25,0.756,0.32,0.242,Home Decor,Mid,Churned,FALSE,FALSE,TRUE,FALSE,EU_Other,1,1,1
C0038,2/1/2025,2/15/2025,7/17/2025,107,2,0,0,106.3,53.15,0.072,Google Ads,Brand_Search,41.36,97.22,2.35,0.333,0.087,0.029,Skincare,Mid,At-risk,FALSE,FALSE,FALSE,TRUE,IN,4,2,2
C0039,7/1/2024,7/18/2024,2/12/2025,262,5,0,0,435.18,87.04,0.026,Meta Ads,Meta_Prospecting,24.85,497.84,20.03,0.249,0.266,0.066,Skincare,High,Churned,FALSE,FALSE,TRUE,FALSE,AU,3,5,5
C0040,6/1/2025,6/16/2025,9/7/2025,55,4,3,0,269.68,67.42,0.039,Meta Ads,Meta_Retargeting,19.94,238.72,11.97,0.274,0.149,0.041,Skincare,Mid,Active,FALSE,TRUE,FALSE,FALSE,IN,4,4,4
C0041,4/1/2023,4/2/2023,1/1/2024,670,2,0,0,59.08,29.54,0.112,Influencer,IG_Influencer_Spring,64.83,41.59,0.64,0.644,0.057,0.037,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,US,1,2,2
C0042,8/1/2025,8/13/2025,10/18/2025,14,3,1,1,173.79,57.93,0.074,Organic,SEO_Blog,6.68,162.24,24.29,0.075,0.172,0.013,Supplements,Mid,Active,TRUE,TRUE,FALSE,TRUE,EU_Other,5,3,4
C0043,5/1/2024,5/23/2024,9/20/2024,407,2,0,0,112.8,56.4,0.032,Organic,SEO_Landing,7.72,130.53,16.91,0.084,0.091,0.008,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,CA,2,2,3
C0044,2/1/2025,2/14/2025,8/24/2025,69,1,1,0,110.64,110.64,0.018,Meta Ads,Meta_Prospecting,22.18,122.26,5.51,0.491,0.294,0.144,Skincare,High,Active,FALSE,TRUE,FALSE,TRUE,EU_Other,4,1,3
C0045,2/1/2023,2/4/2023,4/26/2023,920,3,0,0,184.87,61.62,0.164,Meta Ads,Meta_Prospecting,26.86,191.15,7.12,0.303,0.282,0.086,Apparel,Mid,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,1,3,4
C0046,7/1/2023,7/25/2023,9/22/2023,771,3,0,0,162.23,54.08,0.066,Meta Ads,Meta_Retargeting,18.27,147.06,8.05,0.354,0.202,0.072,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,EU_Other,1,3,4
C0047,10/1/2025,10/22/2025,10/27/2025,5,5,2,1,579.22,115.84,0.022,Google Ads,Shopping_Campaign,29.78,412.72,13.86,0.442,0.275,0.122,Skincare,High,Active,TRUE,TRUE,FALSE,FALSE,AU,5,5,5
C0048,10/1/2025,10/18/2025,10/25/2025,7,3,3,1,160.07,53.36,0.215,Organic,SEO_Landing,14.54,151.71,10.43,0.242,0.091,0.022,Apparel,Mid,Active,TRUE,TRUE,FALSE,TRUE,UK,5,3,4
C0049,7/1/2024,7/19/2024,2/12/2025,262,4,0,0,471.79,117.95,0.058,Google Ads,Generic_Search,26.45,447.69,16.93,0.128,0.318,0.041,Home Decor,High,Churned,FALSE,FALSE,TRUE,FALSE,US,3,4,5
C0050,12/1/2024,12/3/2024,5/22/2025,163,1,0,0,83.55,83.55,0.013,Google Ads,Generic_Search,36.42,89.71,2.46,0.255,0.136,0.035,Skincare,Mid,At-risk,FALSE,FALSE,FALSE,TRUE,UK,4,1,2
C0051,2/1/2024,2/6/2024,9/16/2024,411,2,0,0,62.17,31.08,0.074,Referral,Referral_VIP,9.88,67.31,6.81,0.29,0.301,0.087,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,CA,2,2,2
C0052,12/1/2024,12/30/2024,5/26/2025,159,1,0,0,53.38,53.38,0.172,Google Ads,Shopping_Campaign,39.34,53.06,1.35,0.445,0.145,0.064,Apparel,Mid,At-risk,FALSE,FALSE,FALSE,FALSE,UK,4,1,1
C0053,6/1/2023,6/11/2023,10/29/2023,734,1,0,0,46.02,46.02,0.069,Google Ads,Shopping_Campaign,23.27,48.16,2.07,0.441,0.062,0.027,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,US,1,1,1
C0054,7/1/2023,7/21/2023,10/28/2023,735,4,0,0,177.45,44.36,0.033,Influencer,IG_Influencer_Spring,68.79,117.2,1.7,0.425,0.237,0.101,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,US,1,4,4
C0055,9/1/2025,9/22/2025,10/16/2025,16,8,3,3,752.66,94.08,0.133,Google Ads,Generic_Search,31.34,728.35,23.24,0.125,0.147,0.018,Home Decor,High,Active,TRUE,TRUE,FALSE,TRUE,CA,5,5,5
C0056,9/1/2023,9/27/2023,4/6/2024,574,1,0,0,58.7,58.7,0.035,Organic,SEO_Blog,3.54,71.97,20.33,0.202,0.151,0.031,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,US,2,1,2
C0057,3/1/2025,3/26/2025,10/10/2025,22,2,2,2,216.96,108.48,0.114,Influencer,IG_Influencer_Spring,32.94,115.06,3.49,0.49,0.134,0.066,Home Decor,High,Active,TRUE,TRUE,FALSE,TRUE,CA,5,2,4
C0058,3/1/2024,3/31/2024,12/13/2024,323,5,0,0,402.74,80.55,0.019,Referral,Referral_VIP,7.55,450.57,59.68,0.183,0.193,0.035,Supplements,High,Churned,FALSE,FALSE,TRUE,TRUE,CA,3,5,5
C0059,10/1/2025,10/13/2025,10/31/2025,1,1,1,1,49.23,49.23,0.051,Meta Ads,Meta_BF_Sale,25.4,39.4,1.55,0.513,0.275,0.141,Supplements,Mid,New,TRUE,TRUE,FALSE,TRUE,US,5,1,1
C0060,10/1/2023,10/23/2023,11/25/2023,707,3,0,0,346.38,115.46,0.091,Referral,Referral_Program,10.06,479.82,47.7,0.183,0.304,0.055,Home Decor,High,Churned,FALSE,FALSE,TRUE,FALSE,IN,1,3,5
C0061,12/1/2024,12/20/2024,5/25/2025,160,4,0,0,160.39,40.1,0.144,Google Ads,Generic_Search,40.72,171.14,4.2,0.146,0.127,0.018,Accessories,Mid,At-risk,FALSE,FALSE,FALSE,TRUE,CA,4,4,4
C0062,12/1/2023,12/4/2023,7/28/2024,461,3,0,0,119.09,39.7,0.083,Meta Ads,Meta_Retargeting,23.62,131.69,5.58,0.531,0.163,0.087,Skincare,Mid,Churned,FALSE,FALSE,TRUE,FALSE,US,2,3,3
C0063,5/1/2025,5/28/2025,10/30/2025,2,1,1,1,24.46,24.46,0.065,Google Ads,Brand_Search,26.22,17.9,0.68,0.492,0.19,0.094,Skincare,Mid,New,TRUE,TRUE,FALSE,TRUE,IN,5,1,1
C0064,3/1/2025,3/2/2025,7/30/2025,94,2,0,0,200.49,100.24,0.031,Referral,Referral_VIP,14.26,236.38,16.58,0.317,0.171,0.054,Supplements,High,At-risk,FALSE,FALSE,FALSE,TRUE,CA,4,2,4
C0065,8/1/2023,8/5/2023,12/2/2023,700,4,0,0,564.77,141.19,0.083,Google Ads,Brand_Search,37.67,418.36,11.11,0.27,0.165,0.045,Home Decor,Premium,Churned,FALSE,FALSE,TRUE,TRUE,IN,1,4,5
C0066,2/1/2025,2/2/2025,9/7/2025,55,3,1,0,130.37,43.46,0.039,Google Ads,Brand_Search,24.18,92.09,3.81,0.388,0.214,0.083,Skincare,Mid,Active,FALSE,TRUE,FALSE,TRUE,AU,4,3,3
C0067,7/1/2023,7/7/2023,5/17/2024,533,1,0,0,110.4,110.4,0.025,Organic,SEO_Landing,2.51,126.57,50.43,0.283,0.125,0.035,Skincare,High,Churned,FALSE,FALSE,TRUE,FALSE,EU_Other,2,1,3
C0068,1/1/2024,1/15/2024,11/8/2024,358,4,0,0,188.27,47.07,0.077,Meta Ads,Meta_Prospecting,15.73,222.97,14.17,0.24,0.168,0.04,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,2,4,4
C0069,5/1/2024,5/7/2024,2/10/2025,264,1,0,0,31.53,31.53,0.258,Meta Ads,Meta_Prospecting,29.73,36.61,1.23,0.447,0.308,0.138,Apparel,Mid,Churned,FALSE,FALSE,TRUE,TRUE,IN,3,1,1
C0070,1/1/2023,1/15/2023,5/27/2023,889,4,0,0,258.5,64.62,0.037,Meta Ads,Meta_BF_Sale,28.28,278.84,9.86,0.338,0.246,0.083,Supplements,High,Churned,FALSE,FALSE,TRUE,TRUE,CA,1,4,4
C0071,3/1/2023,3/6/2023,8/7/2023,817,1,0,0,122.39,122.39,0.041,Meta Ads,Meta_Prospecting,24.49,102.64,4.19,0.34,0.235,0.08,Supplements,High,Churned,FALSE,FALSE,TRUE,TRUE,US,1,1,3
C0072,6/1/2024,6/4/2024,2/7/2025,267,7,0,0,389.85,55.69,0.219,Meta Ads,Meta_Retargeting,31.88,354.63,11.12,0.554,0.119,0.066,Apparel,Mid,Churned,FALSE,FALSE,TRUE,FALSE,UK,3,5,5
C0073,10/1/2024,10/9/2024,5/18/2025,167,2,0,0,206.28,103.14,0.063,Meta Ads,Meta_Retargeting,31.11,191.43,6.15,0.362,0.348,0.126,Skincare,High,At-risk,FALSE,FALSE,FALSE,FALSE,US,4,2,4
C0074,8/1/2024,8/15/2024,10/2/2024,395,2,0,0,52.4,26.2,0.06,Organic,SEO_Blog,8.78,63.16,7.19,0.261,0.219,0.057,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,UK,2,2,1
C0075,1/1/2024,1/27/2024,10/29/2024,368,1,0,0,24.78,24.78,0.175,Meta Ads,Meta_BF_Sale,32.37,27.78,0.86,0.407,0.135,0.055,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,UK,2,1,1
C0076,2/1/2024,2/23/2024,8/19/2024,439,2,0,0,163.61,81.81,0.022,Google Ads,Generic_Search,25.15,139.73,5.56,0.307,0.304,0.093,Supplements,Mid,Churned,FALSE,FALSE,TRUE,TRUE,CA,2,2,4
C0077,10/1/2023,10/16/2023,6/29/2024,490,5,0,0,73.46,14.69,0.158,Influencer,TikTok_Creator_Summer,34.48,44.73,1.3,0.743,0.137,0.102,Accessories,Low,Churned,FALSE,FALSE,TRUE,TRUE,IN,2,5,2
C0078,1/1/2024,1/14/2024,10/9/2024,388,8,0,0,320.75,40.09,0.255,Google Ads,Brand_Search,26.74,230.24,8.61,0.181,0.13,0.023,Apparel,Mid,Churned,FALSE,FALSE,TRUE,FALSE,US,2,5,5
C0079,8/1/2023,8/19/2023,6/28/2024,491,2,0,0,142.46,71.23,0.074,Organic,SEO_Blog,0.86,144.69,168.24,0.051,0.079,0.004,Skincare,High,Churned,FALSE,FALSE,TRUE,TRUE,IN,2,2,3
C0080,10/1/2025,10/14/2025,10/27/2025,5,2,2,1,102.63,51.32,0.216,Meta Ads,Meta_Retargeting,25.62,100.63,3.93,0.368,0.084,0.031,Apparel,Mid,Active,TRUE,TRUE,FALSE,TRUE,AU,5,2,2
C0081,2/1/2023,2/10/2023,2/25/2023,980,4,0,0,441.44,110.36,0.052,Meta Ads,Meta_Prospecting,33.73,373.81,11.08,0.269,0.214,0.058,Home Decor,High,Churned,FALSE,FALSE,TRUE,TRUE,CA,1,4,5
C0082,5/1/2023,5/15/2023,12/23/2023,679,6,0,0,724.01,120.67,0.035,Meta Ads,Meta_BF_Sale,15.79,710.48,45,0.266,0.069,0.018,Supplements,High,Churned,FALSE,FALSE,TRUE,FALSE,CA,1,5,5
C0083,7/1/2023,7/20/2023,6/5/2024,514,3,0,0,160.59,53.53,0.141,Meta Ads,Meta_Prospecting,17.44,183.28,10.51,0.327,0.116,0.038,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,2,3,4
C0084,2/1/2025,2/18/2025,10/28/2025,4,2,2,1,260.48,130.24,0.1,Meta Ads,Meta_Retargeting,24.04,268.95,11.19,0.406,0.081,0.033,Home Decor,High,Active,TRUE,TRUE,FALSE,TRUE,US,5,2,4
C0085,7/1/2025,7/18/2025,10/8/2025,24,2,2,1,56.29,28.14,0.18,Meta Ads,Meta_Retargeting,33.68,46.81,1.39,0.501,0.322,0.161,Accessories,Low,Active,TRUE,TRUE,FALSE,TRUE,EU_Other,5,2,1
C0086,5/1/2024,5/17/2024,4/4/2025,211,3,0,0,209.16,69.72,0.038,Meta Ads,Meta_Retargeting,21.32,183.36,8.6,0.497,0.21,0.104,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,3,3,4
C0087,2/1/2024,2/11/2024,4/18/2025,197,1,0,0,89.96,89.96,0.036,Meta Ads,Meta_Retargeting,25.14,89.04,3.54,0.544,0.258,0.141,Skincare,High,Churned,FALSE,FALSE,TRUE,FALSE,US,3,1,2
C0088,3/1/2025,3/15/2025,7/20/2025,104,3,0,0,225.76,75.25,0.034,Google Ads,Shopping_Campaign,21.04,190.68,9.06,0.104,0.168,0.018,Skincare,Mid,At-risk,FALSE,FALSE,FALSE,TRUE,UK,4,3,4
C0089,4/1/2023,4/9/2023,10/29/2023,734,2,0,0,88.5,44.25,0.1,Meta Ads,Meta_Prospecting,17.97,83.5,4.65,0.54,0.154,0.083,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,CA,1,2,2
C0090,11/1/2024,11/14/2024,5/19/2025,166,4,0,0,175.6,43.9,0.122,Google Ads,Brand_Search,44.67,160.1,3.58,0.114,0.274,0.031,Home Decor,Mid,At-risk,FALSE,FALSE,FALSE,TRUE,US,4,4,4
C0091,12/1/2024,12/26/2024,2/14/2025,260,1,0,0,117.44,117.44,0.074,Google Ads,Brand_Search,44.13,109.66,2.48,0.421,0.098,0.041,Skincare,High,Churned,FALSE,FALSE,TRUE,TRUE,IN,3,1,3
C0092,8/1/2025,8/18/2025,10/27/2025,5,3,3,2,549.62,183.21,0.136,Organic,SEO_Blog,0.07,669.85,9569.29,0.161,0.108,0.017,Home Decor,Premium,Active,TRUE,TRUE,FALSE,TRUE,IN,5,3,5
C0093,9/1/2024,9/4/2024,10/28/2024,369,2,0,0,72.81,36.4,0.171,Meta Ads,Meta_Retargeting,34.04,68.18,2,0.488,0.131,0.064,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,CA,2,2,2
C0094,10/1/2024,10/4/2024,4/24/2025,191,3,0,0,483.54,161.18,0.165,Influencer,IG_Influencer_Spring,55.56,388.15,6.99,0.558,0.303,0.169,Home Decor,Premium,Churned,FALSE,FALSE,TRUE,TRUE,AU,3,3,5
C0095,10/1/2025,10/25/2025,10/29/2025,3,1,1,1,68.13,68.13,0.172,Organic,SEO_Blog,13.02,70.54,5.42,0.143,0.251,0.036,Accessories,Mid,New,TRUE,TRUE,FALSE,TRUE,EU_Other,5,1,2
C0096,5/1/2024,5/17/2024,11/14/2024,352,3,0,0,107.9,35.97,0.053,Meta Ads,Meta_BF_Sale,24.09,88.71,3.68,0.361,0.139,0.05,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,2,3,3
C0097,2/1/2025,2/5/2025,6/21/2025,133,3,0,0,442.39,147.46,0.062,Influencer,IG_Influencer_Spring,50.62,299.54,5.92,0.713,0.096,0.069,Supplements,High,At-risk,FALSE,FALSE,FALSE,FALSE,US,4,3,5
C0098,2/1/2024,2/2/2024,4/12/2024,568,3,0,0,155.38,51.79,0.081,Referral,Referral_Program,12.33,191.92,15.57,0.149,0.113,0.017,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,2,3,3
C0099,5/1/2025,5/20/2025,10/4/2025,28,3,1,1,69.57,23.19,0.07,Meta Ads,Meta_BF_Sale,28.34,81.66,2.88,0.478,0.333,0.159,Accessories,Mid,Active,TRUE,TRUE,FALSE,TRUE,CA,5,3,2
C0100,3/1/2025,3/5/2025,6/16/2025,138,3,0,0,44.17,14.72,0.228,Meta Ads,Meta_Retargeting,17.79,48.16,2.71,0.598,0.185,0.111,Apparel,Low,At-risk,FALSE,FALSE,FALSE,TRUE,US,4,3,1
C0101,1/1/2024,1/28/2024,11/23/2024,343,5,0,0,218.91,43.78,0.039,Influencer,IG_Influencer_Spring,31.2,188.02,6.03,0.526,0.183,0.096,Skincare,Mid,Churned,FALSE,FALSE,TRUE,TRUE,UK,2,5,4
C0102,7/1/2023,7/26/2023,2/15/2024,625,1,0,0,49.93,49.93,0.014,Organic,SEO_Blog,4.62,63.08,13.65,0.254,0.112,0.028,Supplements,Mid,Churned,FALSE,FALSE,TRUE,TRUE,AU,1,1,1
C0103,6/1/2025,6/10/2025,10/3/2025,29,5,2,1,286.41,57.28,0.02,Meta Ads,Meta_Prospecting,29.09,298.39,10.26,0.581,0.153,0.089,Supplements,Mid,Active,TRUE,TRUE,FALSE,FALSE,AU,5,5,4
C0104,5/1/2025,5/13/2025,9/7/2025,55,2,2,0,38.5,19.25,0.01,Meta Ads,Meta_BF_Sale,19.04,38.93,2.04,0.594,0.302,0.179,Supplements,Mid,Active,FALSE,TRUE,FALSE,TRUE,EU_Other,4,2,1
C0105,1/1/2025,1/12/2025,10/5/2025,27,1,1,1,89.68,89.68,0.281,Google Ads,Shopping_Campaign,36.84,82.77,2.25,0.423,0.145,0.062,Apparel,High,New,TRUE,TRUE,FALSE,TRUE,US,5,1,2
C0106,7/1/2024,7/17/2024,1/7/2025,298,1,0,0,41.8,41.8,0.054,Google Ads,Generic_Search,44.25,45.62,1.03,0.104,0.165,0.017,Accessories,Mid,Churned,FALSE,FALSE,TRUE,TRUE,IN,3,1,1
C0107,10/1/2025,10/17/2025,10/28/2025,4,2,2,1,300.6,150.3,0.029,Organic,Direct_Organic,1.41,363.51,257.81,0.091,0.061,0.006,Skincare,High,Active,TRUE,TRUE,FALSE,TRUE,AU,5,2,5
C0108,4/1/2023,4/6/2023,7/5/2023,850,4,0,0,405.82,101.46,0.104,Google Ads,Shopping_Campaign,36.82,301.32,8.18,0.302,0.171,0.052,Home Decor,High,Churned,FALSE,FALSE,TRUE,TRUE,CA,1,4,5
